heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
How to Be Enough,Written by: Ellen Hendriksen,"Seven life-changing steps for self-critics, overthinkers and perfectionists",Length: 7 hrs and 59 mins,Language: English,,Not rated yet,"₹1,405.00"
50 Psychology Classics,Written by: Tom Butler-Bowdon,,Length: 12 hrs and 24 mins,Language: English,5 out of 5 stars,15 ratings,₹703.00
"30 Days - Change Your Habits, Change Your Life",Written by: Marc Reklau,A Couple of Simple Steps Every Day to Create the Life You Want,Length: 4 hrs and 12 mins,Language: English,4.5 out of 5 stars,113 ratings,₹340.00
The Mysterious Affair at Styles,"Written by: Agatha Christie, Anna Lea - adaptation",,Length: 3 hrs and 53 mins,Language: English,5 out of 5 stars,76 ratings,₹493.00
Seven Myths About Money,Written by: Rob Dix,And the Truth About Finding Financial Freedom,Length: 4 hrs and 56 mins,Language: English,,Not rated yet,₹957.00
Power Manifesting,Written by: Paul McKenna,The New Science of Getting What You Want,Length: 3 hrs and 19 mins,Language: English,5 out of 5 stars,2 ratings,₹949.00
Kalki Puran (Hindi Edition),Written by: Dr. Vinay,,Length: 6 hrs and 10 mins,Language: Hindi,4.5 out of 5 stars,43 ratings,
The 10X Rule,Written by: Grant Cardone,The Only Difference Between Success and Failure,Length: 7 hrs and 24 mins,Language: English,4.5 out of 5 stars,"1,376 ratings",₹703.00
How to Say It: Words That Make a Difference,"Written by: Allison Friederichs Atkison, The Great Courses",,Length: 4 hrs and 44 mins,Language: English,4.5 out of 5 stars,141 ratings,₹836.00
Hotel,Written by: Arthur Hailey,,Length: 15 hrs and 17 mins,Language: English,4.5 out of 5 stars,55 ratings,₹703.00
Sochiye Aur Ameer Baniye [Think and Be Rich],Written by: Napoleon Hill,,Length: 11 hrs and 10 mins,Language: Hindi,5 out of 5 stars,321 ratings,₹254.00
Yogi Kathamrit (Ek Yogi Ki Atmakatha) [Autobiography of a Yogi],Written by: Paramahansa Yogananda,,Length: 20 hrs and 7 mins,Language: Hindi,5 out of 5 stars,22 ratings,
Kautilya Arthshastra (Hindi Edition),Written by: Chanakya,,Length: 6 hrs,Language: Hindi,4.5 out of 5 stars,55 ratings,
Contesting: The Name It & Claim It Game,Written by: Helene Hadsell,WINeuvers for WISHcraft,Length: 5 hrs and 10 mins,Language: English,,Not rated yet,₹668.00
Beautiful Beast,Written by: Neva Altaj,"Mafia Legacy: Perfectly Imperfect, Book 1",Length: 11 hrs and 19 mins,Language: English,5 out of 5 stars,1 rating,"₹1,675.00"
The Power Broker,Written by: Robert A Caro,Robert Moses and the Fall of New York,Length: 66 hrs and 8 mins,Language: English,5 out of 5 stars,1 rating,"₹1,093.00"
Antaryatra Ke Sutra (Hindi),Written by: OSHO,,Length: 1 hr and 29 mins,Language: Hindi,5 out of 5 stars,41 ratings,₹167.00
"Change Your Thinking, Change Your Life",Written by: Brian Tracy,How to Unlock Your Full Potential for Success and Achievement,Length: 8 hrs and 57 mins,Language: English,5 out of 5 stars,22 ratings,₹820.00
Echoes on the Fens,Written by: Joy Ellis,"DI Nikki Galena, Book 15",Length: 11 hrs and 50 mins,Language: English,,Not rated yet,₹703.00
Ramayana Versus Mahabharata,Written by: Devdutt Pattanaik,My Playful Comparison,Length: 5 hrs and 13 mins,Language: English,4.5 out of 5 stars,141 ratings,₹69.00
An Era of Darkness,Written by: Shashi Tharoor,The British Empire in India,Length: 12 hrs and 26 mins,Language: English,4.5 out of 5 stars,280 ratings,₹69.00
The Buddha Said,Written by: Osho,Meeting the Challenge of Life's Difficulties,Length: 35 hrs and 57 mins,Language: English,5 out of 5 stars,137 ratings,₹586.00
To All the Boys I've Loved Before,Written by: Jenny Han,,Length: 8 hrs and 44 mins,Language: English,4.5 out of 5 stars,55 ratings,₹820.00
Ikigai (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles","दीर्घायु, तंदुरुस्त और आनंदित जीवन का जापानी रहस्य [The Japanese Secret to a Long and Happy Life]",Length: 4 hrs and 42 mins,Language: Hindi,4.5 out of 5 stars,182 ratings,₹69.00
Sweet Talk,Written by: Cara Bastone,,Length: 5 hrs and 42 mins,Language: English,4.5 out of 5 stars,396 ratings,"₹1,003.00"
Now or Never,Written by: Stella Rhys,"Irresistible Series, Book 5",Length: 11 hrs and 2 mins,Language: English,4 out of 5 stars,11 ratings,₹703.00
"Bulls, Bears and Other Beasts",Written by: Santosh Nair,A Story of the Indian Stock Market,Length: 11 hrs and 8 mins,Language: English,4.5 out of 5 stars,690 ratings,₹69.00
The Contract,Written by: Melanie Moreland,,Length: 8 hrs and 43 mins,Language: English,4.5 out of 5 stars,109 ratings,₹891.00
The Let Them Theory,Written by: Mel Robbins,A Life-Changing Tool That Millions of People Can’t Stop Talking About,Length: 10 hrs and 38 mins,Language: English,5 out of 5 stars,6 ratings,"₹1,171.00"
How to Achieve Financial Independence and Retire Early,"Written by: JD Roth, The Great Courses",,Length: 4 hrs and 39 mins,Language: English,4.5 out of 5 stars,310 ratings,₹836.00
Origin Story,Written by: David Christian,A Big History of Everything,Length: 12 hrs and 23 mins,Language: English,4.5 out of 5 stars,34 ratings,₹938.00
The Search,Written by: Osho,"Finding Your Inner Power, Your Potential",Length: 13 hrs and 43 mins,Language: English,5 out of 5 stars,59 ratings,₹445.00
Dream With Your Eyes Open,Written by: Ronnie Screwvala,An Entrepreneurial Journey,Length: 7 hrs and 19 mins,Language: English,4.5 out of 5 stars,751 ratings,
No More Mr. Nice Guy,Written by: Dr Robert Glover,"A Proven Plan for Getting What You Want in Love, Sex and Life (Updated)",Length: 6 hrs and 49 mins,Language: English,4.5 out of 5 stars,377 ratings,₹938.00
Vivekananda,Written by: Pranay,Spirituality for Leadership & Success,Length: 3 hrs and 12 mins,Language: English,4.5 out of 5 stars,259 ratings,₹69.00
