heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
Water Moon,Written by: Samantha Sotto Yambao,,Length: 9 hrs and 41 mins,Language: English,,Not rated yet,₹957.00
Keeping 13,Written by: Chloe Walsh,Part One,Length: 15 hrs and 56 mins,Language: English,4.5 out of 5 stars,3 ratings,₹804.00
Oversubscribed,Written by: Daniel Priestley,How to Get People Lined Up to Do Business with You (2nd Edition),Length: 6 hrs and 33 mins,Language: English,5 out of 5 stars,29 ratings,₹703.00
Devi Bhagwat Puran,Written by: Dr. Vinay,,Length: 7 hrs and 13 mins,Language: Hindi,5 out of 5 stars,65 ratings,
Summary of The Secret (Hindi Edition),Written by: Abhishek Therkar,,Length: 30 mins,Language: Hindi,4.5 out of 5 stars,6 ratings,₹69.00
"Harry Potter and the Deathly Hallows, Book 7",Written by: J.K. Rowling,,Length: 23 hrs and 59 mins,Language: English,5 out of 5 stars,"1,434 ratings","₹1,599.00"
The Hidden Power of Gayatri Mantra,Written by: Om Swami,How to Realize Your Full Potential Through Daily Practice,Length: 3 hrs and 55 mins,Language: English,4.5 out of 5 stars,11 ratings,₹69.00
The Law of Success,Written by: Paramahansa Yogananda,"Using the Power of Spirit to Create Health, Prosperity, and Happiness",Length: 27 mins,Language: English,5 out of 5 stars,75 ratings,₹234.00
The Modern Intellectual Tradition: From Descartes to Derrida,"Written by: Lawrence Cahoone, The Great Courses",,Length: 18 hrs and 46 mins,Language: English,5 out of 5 stars,8 ratings,"₹1,405.00"
Shakti Rising,"Written by: Kavitha M. Chinnaiyan MD, Greg Goode - foreword",Embracing Shadow and Light on the Goddess Path to Wholeness,Length: 8 hrs and 11 mins,Language: English,5 out of 5 stars,12 ratings,₹586.00
Animal Farm (Hindi Edition),Written by: George Orwell,,Length: 3 hrs and 54 mins,Language: Hindi,4.5 out of 5 stars,122 ratings,₹69.00
Autobiography of a Yogi (Hindi Edition),Written by: Paramahansa Yogananda,,Length: 23 hrs and 46 mins,Language: Hindi,4.5 out of 5 stars,363 ratings,₹69.00
The Beauty of the Human Soul,Written by: OSHO,Provocations into Consciousness,Length: 22 hrs and 36 mins,Language: English,5 out of 5 stars,12 ratings,₹445.00
Orwell Collection,Written by: George Orwell,Animal Farm & 1984,Length: 16 hrs and 18 mins,Language: English,4.5 out of 5 stars,277 ratings,"₹1,138.00"
The Housewife’s Secret,Written by: Anna-Lou Weatherley,,Length: 9 hrs and 42 mins,Language: English,4.5 out of 5 stars,50 ratings,₹569.00
The Hardest Fall,Written by: Ella Maise,,Length: 11 hrs and 53 mins,Language: English,4 out of 5 stars,14 ratings,₹703.00
Satyayoddha Kalki: Eye of Brahma,Written by: Kevin Missal,"Kalki Trilogy, Book 2",Length: 12 hrs and 1 min,Language: English,4.5 out of 5 stars,179 ratings,₹69.00
The Oath of the Vayuputras (English),Written by: Amish Tripathi,"Shiva Trilogy, Book 3",Length: 17 hrs and 12 mins,Language: English,5 out of 5 stars,219 ratings,₹245.00
Crime and Punishment,Written by: Fyodor Dostoyevsky,,Length: 22 hrs and 27 mins,Language: English,4.5 out of 5 stars,17 ratings,₹987.00
Kane & Abel (Hindi Edition),Written by: Jeffrey Archer,,Length: 16 hrs and 58 mins,Language: Hindi,5 out of 5 stars,8 ratings,₹69.00
Dhyan Yoga ध्यान योग: अंतरात्मा से मिलन [Dhyan Yoga: Union with the Soul],Written by: Om Swami,,Length: 6 hrs and 21 mins,Language: Hindi,5 out of 5 stars,104 ratings,₹69.00
Amrit Path (Hindi),Written by: OSHO,,Length: 1 hr and 18 mins,Language: Hindi,5 out of 5 stars,7 ratings,₹167.00
"Harry Potter and the Chamber of Secrets, Book 2",Written by: J.K. Rowling,,Length: 9 hrs and 43 mins,Language: English,5 out of 5 stars,"1,297 ratings",₹999.00
To Love Jason Thorn,Written by: Ella Maise,,Length: 11 hrs and 20 mins,Language: English,4 out of 5 stars,29 ratings,₹820.00
The Hidden Kingdom,Written by: Tui T. Sutherland,"Wings of Fire, Book 3",Length: 7 hrs and 34 mins,Language: English,5 out of 5 stars,12 ratings,₹575.00
Ponniyin Selvan,Written by: Kalki,,Length: 61 hrs and 52 mins,Language: Tamil,5 out of 5 stars,16 ratings,₹699.00
The Mists of Brahma,Written by: Christopher C. Doyle,"The Pataala Prophecy, Book 2",Length: 11 hrs and 4 mins,Language: English,4.5 out of 5 stars,67 ratings,₹375.00
Not Another Christmas Rom Com,Written by: A. J. Pine,,Length: 6 hrs and 7 mins,Language: English,4 out of 5 stars,14 ratings,"₹1,003.00"
Night Train at Deoli (Hindi Edition),Written by: Ruskin Bond,,Length: 6 hrs and 43 mins,Language: Hindi,4.5 out of 5 stars,41 ratings,₹278.00
The Bhagavad Gita,Written by: Eknath Easwaran,,Length: 8 hrs and 54 mins,Language: English,4.5 out of 5 stars,441 ratings,₹350.00
A Fistful of Love,Written by: Om Swami,Wisdom and Humour from a Monk’s Bowl,Length: 6 hrs and 51 mins,Language: English,5 out of 5 stars,136 ratings,₹284.00
Cybersecurity,"Written by: Harvard Business Review, Alex Blau, Andrew Burt, Boris Groysberg",The Insights You Need from Harvard Business Review,Length: 2 hrs and 56 mins,Language: English,4 out of 5 stars,11 ratings,₹469.00
Mastery,Written by: George Leonard,The Keys to Success and Long-Term Fulfillment,Length: 3 hrs and 37 mins,Language: English,4.5 out of 5 stars,58 ratings,₹351.00
Speak to Win,Written by: Brian Tracy,How to Present with Power in Any Situation,Length: 5 hrs and 13 mins,Language: English,4.5 out of 5 stars,22 ratings,₹468.00
Shyamchi Aai (Marathi Edition),Written by: Sane Guruji,,Length: 9 hrs and 6 mins,Language: Marathi,5 out of 5 stars,1 rating,₹69.00
Sherlock Holmes: The Definitive Collection,"Written by: Stephen Fry - introductions, Arthur Conan Doyle",,Length: 71 hrs and 57 mins,Language: English,5 out of 5 stars,"1,098 ratings","₹3,037.00"
Mind Full to Mindful,Written by: Om Swami,Zen Wisdom from a Monk's Bowl,Length: 4 hrs and 4 mins,Language: English,4.5 out of 5 stars,7 ratings,₹69.00
Stiff,Written by: Mary Roach,The Curious Lives of Human Cadavers,Length: 8 hrs,Language: English,4.5 out of 5 stars,9 ratings,₹703.00
The Secret of the Nagas,Written by: Amish Tripathi,,Length: 10 hrs and 9 mins,Language: English,5 out of 5 stars,232 ratings,₹220.00
The Bookworm Crush,Written by: Lisa Brown Roberts,,Length: 10 hrs and 34 mins,Language: English,4 out of 5 stars,29 ratings,₹703.00
The Dhandho Investor,Written by: Mohnish Pabrai,The Low-Risk Value Method to High Returns,Length: 5 hrs and 4 mins,Language: English,4.5 out of 5 stars,533 ratings,₹469.00
Who Were the Shudras?,Written by: B. R. Ambedkar,,Length: 10 hrs and 35 mins,Language: English,5 out of 5 stars,1 rating,₹69.00
Bakar Puran (Hindi Edition),Written by: Ajeet Bharti,,Length: 4 hrs and 28 mins,Language: Hindi,4 out of 5 stars,37 ratings,₹165.00
Shreshthata Ka Manovigyan (Hindi),Written by: OSHO,,Length: 1 hr and 34 mins,Language: Hindi,4.5 out of 5 stars,28 ratings,₹167.00
Harvard Business Review Emotional Intelligence Collection,Written by: Harvard Business Review,"Happiness, Resilience, Empathy, Mindfulness (HBR Emotional Intelligence Series)",Length: 8 hrs and 1 min,Language: English,4.5 out of 5 stars,11 ratings,₹586.00
Percy Jackson and the Battle of the Labyrinth,Written by: Rick Riordan,"Percy Jackson, Book 4",Length: 10 hrs and 32 mins,Language: English,5 out of 5 stars,142 ratings,₹820.00
The Heart Sutra,Written by: Osho,Becoming a Buddha Through Meditation,Length: 16 hrs and 24 mins,Language: English,5 out of 5 stars,32 ratings,₹445.00
"Change Your Habits, Change Your Life",Written by: Ashdin Doctor,Your Guide to an Awesome Life,Length: 5 hrs and 44 mins,Language: English,5 out of 5 stars,24 ratings,₹69.00
Crave,Written by: Tracy Wolff,"Crave Series, Book 1",Length: 14 hrs and 56 mins,Language: English,4.5 out of 5 stars,27 ratings,₹820.00
Common Stocks and Uncommon Profits and Other Writings,"Written by: Philip A. Fisher, Kenneth L. Fisher - introduction contributor",2nd Edition,Length: 13 hrs and 10 mins,Language: English,4.5 out of 5 stars,62 ratings,₹703.00
"The Dhammapada, Vol. 1",Written by: Osho,The Way of the Buddha,Length: 17 hrs and 51 mins,Language: English,5 out of 5 stars,37 ratings,₹445.00
The Warded Man [Dramatized Adaptation],Written by: Peter V. Brett,"Demon Cycle, Book 1",Length: 12 hrs and 54 mins,Language: English,4.5 out of 5 stars,11 ratings,"₹1,008.00"
Yupi 65 (UP 65) (Hindi Edition),Written by: Nikhil Sachan,,Length: 5 hrs and 55 mins,Language: Hindi,4.5 out of 5 stars,120 ratings,₹173.00
Aahuti [Sacrifice],Written by: Saurabh Kudesia,"Mahabharat Aadhaarit Pauranik Rahasya Gaatha Khand 3 [Mahabharata Based Mythological Mystery Story, Part 3]",Length: 10 hrs and 47 mins,Language: Hindi,4 out of 5 stars,4 ratings,₹69.00
Men of Honor Series,Written by: K.C. Lynn,"Military Romance Boxed Set, Books 1-4",Length: 36 hrs and 22 mins,Language: English,4.5 out of 5 stars,3 ratings,"₹1,055.00"
Railampel (Hindi Edition),"Written by: Nilotpal Mrinal, Hind Yugm",,Length: 3 hrs and 3 mins,Language: Hindi,5 out of 5 stars,17 ratings,₹69.00
Kasturi Kundal Basai,Written by: OSHO,,Length: 15 hrs,Language: Hindi,5 out of 5 stars,46 ratings,₹284.00
Knocked Up by the CEO,Written by: Lilian Monroe,"Knocked Up Series, Book 1",Length: 5 hrs and 44 mins,Language: English,4 out of 5 stars,8 ratings,₹586.00
If God Was a Banker,Written by: Ravi Subramanian,,Length: 9 hrs and 15 mins,Language: English,4.5 out of 5 stars,88 ratings,₹245.00
All These Worlds,Written by: Dennis E. Taylor,"Bobiverse, Book 3",Length: 7 hrs and 56 mins,Language: English,5 out of 5 stars,106 ratings,"₹1,003.00"
Enemies of the State,Written by: Tal Bauer,"Executive Office Series, Book 1",Length: 14 hrs and 15 mins,Language: English,4.5 out of 5 stars,5 ratings,₹703.00
The Ultimate Deepak Chopra Collection,Written by: Deepak Chopra MD,,Length: 20 hrs and 41 mins,Language: English,5 out of 5 stars,44 ratings,"₹2,008.00"
The Butcher's Masquerade,Written by: Matt Dinniman,"Dungeon Crawler Carl, Book 5",Length: 23 hrs and 33 mins,Language: English,5 out of 5 stars,29 ratings,"₹1,171.00"
The Grace of Kings,Written by: Ken Liu,"The Dandelion Dynasty, Book 1",Length: 23 hrs and 7 mins,Language: English,,Not rated yet,₹759.00
Unconditional Parenting,Written by: Alfie Kohn,Moving from Rewards and Punishments to Love and Reason,Length: 8 hrs and 41 mins,Language: English,4.5 out of 5 stars,57 ratings,₹703.00
Management,Written by: Brian Tracy,The Brian Tracy Success Library,Length: 2 hrs and 28 mins,Language: English,5 out of 5 stars,4 ratings,₹351.00
Yoga & Ayurveda,Written by: Dr. David Frawley,Self-Healing and Self-Realization,Length: 9 hrs and 43 mins,Language: English,4.5 out of 5 stars,7 ratings,₹703.00
Disney Pixar Cars: The Legend of the Crystal Hubcap,"Written by: Disney Press, Steve Behling",,Length: 1 hr and 3 mins,Language: English,4.5 out of 5 stars,7 ratings,₹501.00
"Venture Deals, 4th Edition","Written by: Brad Feld, Jason Mendelson",Be Smarter than Your Lawyer and Venture Capitalist,Length: 11 hrs and 4 mins,Language: English,5 out of 5 stars,21 ratings,₹703.00
Summary of The Secret (Tamil Edition),Written by: Kumar K. Logesh,,Length: 30 mins,Language: Tamil,4.5 out of 5 stars,4 ratings,₹69.00
You Are the Placebo Meditation 2 (Revised Edition),Written by: Dr. Joe Dispenza,Changing One Belief and Perception,Length: 58 mins,Language: English,5 out of 5 stars,38 ratings,₹301.00
HOPE,"Written by: Pope Francis, Richard Dixon",The Autobiography,Length: 12 hrs and 41 mins,Language: English,,Not rated yet,"₹1,093.00"
Jadugarni [Sorceress],Written by: Surender Mohan Pathak,,Length: 8 hrs and 24 mins,Language: Hindi,5 out of 5 stars,28 ratings,₹69.00
Chakallas (Hindi Edition),Written by: Amritlal Nagar,,Length: 9 hrs and 15 mins,Language: Hindi,4 out of 5 stars,23 ratings,₹668.00
Malaikallan,Written by: Namakkal Kavignar,,Length: 9 hrs and 9 mins,Language: Tamil,4.5 out of 5 stars,35 ratings,₹209.00
Jin Sutra Vol.1,Written by: OSHO,,Length: 16 hrs and 57 mins,Language: Hindi,5 out of 5 stars,22 ratings,₹284.00
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]",Written by: Kalki,,Length: 14 hrs,Language: Tamil,5 out of 5 stars,781 ratings,₹118.00
Ghost Stories: Stephen Fry's Definitive Collection,"Written by: Stephen Fry, Washington Irving, M.R. James, Amelia B. Edwards, Robert Louis Stevenson, Algernon Blackwood, Edgar Allan Poe, Charlotte Riddell, Bram Stoker",,Length: 8 hrs and 18 mins,Language: English,4.5 out of 5 stars,18 ratings,₹569.00
Peppa Pig: Once Upon a Time,Written by: Ladybird,,Length: 59 mins,Language: English,5 out of 5 stars,35 ratings,₹410.00
The Art of War,Written by: Sun Tzu,,Length: 1 hr and 7 mins,Language: English,4 out of 5 stars,"1,066 ratings",₹333.00
The Wellness Sense,Written by: Om Swami,A Practical Guide to Your Physical and Emotional Health Based on Ayurvedic and Yogic Wisdom,Length: 6 hrs and 10 mins,Language: English,5 out of 5 stars,134 ratings,"₹1,312.00"
Quantum Physics,Written by: Michael G. Raymer,What Everyone Needs to Know,Length: 9 hrs and 17 mins,Language: English,4 out of 5 stars,5 ratings,₹586.00
Prarthana Nahi – Dhyan (Hindi),Written by: OSHO,,Length: 1 hr and 19 mins,Language: Hindi,4 out of 5 stars,4 ratings,₹167.00
Gayatri Sadhana (Hindi Edition),Written by: Om Swami,The Ultimate Power,Length: 5 hrs and 20 mins,Language: Hindi,5 out of 5 stars,85 ratings,₹69.00
101 Essays That Will Change the Way You Think,Written by: Brianna Wiest,,Length: 10 hrs and 45 mins,Language: English,4.5 out of 5 stars,169 ratings,₹586.00
Playing Big,Written by: Tara Mohr,,Length: 8 hrs and 26 mins,Language: English,5 out of 5 stars,10 ratings,₹683.00
Aahwan (Hindi Edition),Written by: Saurabh Kudesia,Mahabharat Aadhaarit Pauranik Rahasya Gaatha Khand 1,Length: 10 hrs and 37 mins,Language: Hindi,4.5 out of 5 stars,11 ratings,₹69.00
Jeeves & Wooster,Written by: P. G. Wodehouse,The Collected Radio Dramas,Length: 17 hrs and 56 mins,Language: English,5 out of 5 stars,48 ratings,₹957.00
Do Epic Shit,Written by: Ankur Warikoo,,Length: 3 hrs and 17 mins,Language: English,4 out of 5 stars,"1,618 ratings",₹69.00
Star Wars: Padawan's Pride,"Written by: Lucasfilm Press, Bryan Q. Miller",,Length: 3 hrs and 57 mins,Language: English,4.5 out of 5 stars,5 ratings,₹836.00
The Emperor's Soul [Dramatized Adaptation],Written by: Brandon Sanderson,Elantris,Length: 3 hrs and 31 mins,Language: English,4.5 out of 5 stars,32 ratings,₹469.00
Bhagavad Gita for Children,Written by: Pegasus Books,,Length: 2 hrs and 6 mins,Language: English,4 out of 5 stars,13 ratings,₹69.00
Shyamchi Aai (Marathi Edition),Written by: Sane Guruji,,Length: 9 hrs and 6 mins,Language: Marathi,5 out of 5 stars,1 rating,₹69.00
Sherlock Holmes: The Definitive Collection,"Written by: Stephen Fry - introductions, Arthur Conan Doyle",,Length: 71 hrs and 57 mins,Language: English,5 out of 5 stars,"1,098 ratings","₹3,037.00"
Mind Full to Mindful,Written by: Om Swami,Zen Wisdom from a Monk's Bowl,Length: 4 hrs and 4 mins,Language: English,4.5 out of 5 stars,7 ratings,₹69.00
Stiff,Written by: Mary Roach,The Curious Lives of Human Cadavers,Length: 8 hrs,Language: English,4.5 out of 5 stars,9 ratings,₹703.00
The Secret of the Nagas,Written by: Amish Tripathi,,Length: 10 hrs and 9 mins,Language: English,5 out of 5 stars,232 ratings,₹220.00
The Bookworm Crush,Written by: Lisa Brown Roberts,,Length: 10 hrs and 34 mins,Language: English,4 out of 5 stars,29 ratings,₹703.00
The Dhandho Investor,Written by: Mohnish Pabrai,The Low-Risk Value Method to High Returns,Length: 5 hrs and 4 mins,Language: English,4.5 out of 5 stars,533 ratings,₹469.00
Who Were the Shudras?,Written by: B. R. Ambedkar,,Length: 10 hrs and 35 mins,Language: English,5 out of 5 stars,1 rating,₹69.00
Bakar Puran (Hindi Edition),Written by: Ajeet Bharti,,Length: 4 hrs and 28 mins,Language: Hindi,4 out of 5 stars,37 ratings,₹165.00
Shreshthata Ka Manovigyan (Hindi),Written by: OSHO,,Length: 1 hr and 34 mins,Language: Hindi,4.5 out of 5 stars,28 ratings,₹167.00
Harvard Business Review Emotional Intelligence Collection,Written by: Harvard Business Review,"Happiness, Resilience, Empathy, Mindfulness (HBR Emotional Intelligence Series)",Length: 8 hrs and 1 min,Language: English,4.5 out of 5 stars,11 ratings,₹586.00
Percy Jackson and the Battle of the Labyrinth,Written by: Rick Riordan,"Percy Jackson, Book 4",Length: 10 hrs and 32 mins,Language: English,5 out of 5 stars,142 ratings,₹820.00
The Heart Sutra,Written by: Osho,Becoming a Buddha Through Meditation,Length: 16 hrs and 24 mins,Language: English,5 out of 5 stars,32 ratings,₹445.00
"Change Your Habits, Change Your Life",Written by: Ashdin Doctor,Your Guide to an Awesome Life,Length: 5 hrs and 44 mins,Language: English,5 out of 5 stars,24 ratings,₹69.00
Crave,Written by: Tracy Wolff,"Crave Series, Book 1",Length: 14 hrs and 56 mins,Language: English,4.5 out of 5 stars,27 ratings,₹820.00
Common Stocks and Uncommon Profits and Other Writings,"Written by: Philip A. Fisher, Kenneth L. Fisher - introduction contributor",2nd Edition,Length: 13 hrs and 10 mins,Language: English,4.5 out of 5 stars,62 ratings,₹703.00
"The Dhammapada, Vol. 1",Written by: Osho,The Way of the Buddha,Length: 17 hrs and 51 mins,Language: English,5 out of 5 stars,37 ratings,₹445.00
The Warded Man [Dramatized Adaptation],Written by: Peter V. Brett,"Demon Cycle, Book 1",Length: 12 hrs and 54 mins,Language: English,4.5 out of 5 stars,11 ratings,"₹1,008.00"
Yupi 65 (UP 65) (Hindi Edition),Written by: Nikhil Sachan,,Length: 5 hrs and 55 mins,Language: Hindi,4.5 out of 5 stars,120 ratings,₹173.00
Aahuti [Sacrifice],Written by: Saurabh Kudesia,"Mahabharat Aadhaarit Pauranik Rahasya Gaatha Khand 3 [Mahabharata Based Mythological Mystery Story, Part 3]",Length: 10 hrs and 47 mins,Language: Hindi,4 out of 5 stars,4 ratings,₹69.00
The Mastery Manual (Hindi),Written by: Robin Sharma,A Life-Changing Guide for Personal and Professional Greatness,Length: 4 hrs and 51 mins,Language: Hindi,4.5 out of 5 stars,101 ratings,₹239.00
Summary of 48 Laws of Power (Hindi Edition),Written by: Rainshine Entertainment Private Limited,,Length: 40 mins,Language: Hindi,4 out of 5 stars,6 ratings,₹69.00
Fault Lines,Written by: Raghuram G. Rajan,How Hidden Fractures Still Threaten the World Economy,Length: 11 hrs and 19 mins,Language: English,4 out of 5 stars,42 ratings,₹498.00
"The Tantra Experience (The Tantra Vision, Vol. 1)",Written by: Osho,Evolution Through Love,Length: 16 hrs and 21 mins,Language: English,5 out of 5 stars,58 ratings,₹445.00
Bridgerton: Romancing Mister Bridgerton,Written by: Julia Quinn,"Bridgertons, Book 4",Length: 13 hrs and 17 mins,Language: English,4.5 out of 5 stars,51 ratings,₹804.00
Rarang Dhang,Written by: Prabhakar Pendharkar,Marathi Audiobook,Length: 3 hrs and 27 mins,Language: English,5 out of 5 stars,122 ratings,₹375.00
The Greatest Bengali Stories Ever Told,Written by: Arunava Sinha,,Length: 10 hrs and 8 mins,Language: English,3.5 out of 5 stars,65 ratings,₹69.00
Hot Asset,Written by: Lauren Layne,"21 Wall Street Series, Book 1",Length: 7 hrs and 39 mins,Language: English,4 out of 5 stars,40 ratings,₹773.00
Ajab-Gazab Meri Duniya [My World],Written by: Ruskin Bond,,Length: 7 hrs and 23 mins,Language: Hindi,5 out of 5 stars,5 ratings,₹260.00
Warbreaker (Dramatized Adaptation),Written by: Brandon Sanderson,,Length: 17 hrs and 50 mins,Language: English,5 out of 5 stars,20 ratings,"₹1,125.00"
Erotic Stories for Punjabi Widows,Written by: Balli Kaur Jaswal,A Novel,Length: 10 hrs and 34 mins,Language: English,4.5 out of 5 stars,78 ratings,"₹1,406.00"
Thuppariyum Sambu Part 2 (Tamil Edition),Written by: Devan,,Length: 2 hrs and 29 mins,Language: Tamil,5 out of 5 stars,30 ratings,₹62.00
Stealing the Corner Office,Written by: Brendan Reid,The Winning Career Strategies They'll Never Teach You in Business School,Length: 5 hrs and 44 mins,Language: English,5 out of 5 stars,11 ratings,₹586.00
Esther & Jerry Hicks: The Law of Attraction (Hindi Edition),"Written by: Esther Hicks, Jerry Hicks",,Length: 7 hrs and 23 mins,Language: Hindi,4 out of 5 stars,1 rating,₹69.00
Kabhi Gaanv Kabhi College (Hindi Edition),Written by: Agam Jain,,Length: 4 hrs and 32 mins,Language: Hindi,4.5 out of 5 stars,8 ratings,₹69.00
The Diary of a Young Girl [Hindi],Written by: Anne Frank,,Length: 11 hrs and 41 mins,Language: Hindi,4.5 out of 5 stars,59 ratings,₹166.00
True Colours,Written by: Adam Gilchrist,My Life,Length: 17 hrs and 8 mins,Language: English,4.5 out of 5 stars,21 ratings,₹611.00
Clear Thinking,Written by: Shane Parrish,Turning Ordinary Moments into Extraordinary Results,Length: 6 hrs and 41 mins,Language: English,5 out of 5 stars,134 ratings,₹957.00
Karna's Wife,Written by: Kavita Kane,The Outcast's Queen,Length: 13 hrs and 9 mins,Language: English,4.5 out of 5 stars,76 ratings,₹293.00
You Die Alone,Written by: Novoneel Chakraborty,,Length: 2 hrs and 35 mins,Language: English,3.5 out of 5 stars,112 ratings,₹69.00
Beren and Lúthien,"Written by: Christopher Tolkien, J. R. R. Tolkien",,Length: 6 hrs and 54 mins,Language: English,4.5 out of 5 stars,3 ratings,₹683.00
Thuppariyum Sambu Part 1 (Tamil Edition),Written by: Devan,,Length: 2 hrs and 45 mins,Language: Tamil,4.5 out of 5 stars,61 ratings,₹62.00
Mindfulness in Plain English,Written by: Bhante Henepola Gunaratana,,Length: 6 hrs and 12 mins,Language: English,4.5 out of 5 stars,150 ratings,₹668.00
Mastering Logical Fallacies,"Written by: Michael Withey, Henry Zhang - foreword",The Definitive Guide to Flawless Rhetoric and Bulletproof Logic,Length: 4 hrs and 22 mins,Language: English,4.5 out of 5 stars,11 ratings,₹351.00
Sherlock Holmes: The Hound of the Baskervilles,Written by: Arthur Conan Doyle,,Length: 6 hrs and 22 mins,Language: English,5 out of 5 stars,13 ratings,₹558.00
That Night (Hindi Edition),Written by: Nidhi Upadhyay,,Length: 7 hrs and 46 mins,Language: Hindi,4 out of 5 stars,45 ratings,₹668.00
In Pursuit of the Perfect Portfolio,"Written by: Andrew W. Lo, Stephen R. Foerster","The Stories, Voices, and Key Insights of the Pioneers Who Shaped the Way We Invest",Length: 16 hrs and 3 mins,Language: English,4 out of 5 stars,4 ratings,₹703.00
The Art of Thinking Clearly (Marathi Edition),Written by: Rolf Dobelli,"Better Thinking, Better Decisions",Length: 14 hrs and 26 mins,Language: Hindi,5 out of 5 stars,2 ratings,₹836.00
Kyon Se Shuruwat Karein [Start with Why],Written by: Simon Sinek,Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People to Move Forward],Length: 10 hrs and 52 mins,Language: Hindi,4.5 out of 5 stars,88 ratings,₹836.00
The Fish in the Sea Is Not Thirsty,Written by: Osho,On the Haunting Songs of the Mystic Kabir,Length: 26 hrs and 4 mins,Language: English,5 out of 5 stars,17 ratings,₹445.00
The 7 Principles of Public Speaking,Written by: Richard Zeoli,Proven Methods from a PR Professional,Length: 5 hrs,Language: English,4.5 out of 5 stars,126 ratings,₹668.00
Why Zebras Don't Get Ulcers,Written by: Robert Sapolsky,"The Acclaimed Guide to Stress, Stress-Related Diseases, and Coping - Now Revised and Updated",Length: 17 hrs and 16 mins,Language: English,4.5 out of 5 stars,28 ratings,"₹1,289.00"
Datta Anubhuti (Marathi Edition),Written by: Anand Kamat,,Length: 4 hrs and 9 mins,Language: Hindi,5 out of 5 stars,27 ratings,₹69.00
The Accidental Universe,Written by: Alan Lightman,The World You Thought You Knew,Length: 3 hrs and 51 mins,Language: English,4.5 out of 5 stars,26 ratings,₹585.00
Summary of Think and Grow Rich (Hindi Edition),Written by: Rainshine Entertainment Private Limited,,Length: 38 mins,Language: Hindi,4.5 out of 5 stars,2 ratings,₹69.00
Tales from the Cafe,"Written by: Toshikazu Kawaguchi, Geoffrey Trousselot - translator",Before the Coffee Gets Cold,Length: 5 hrs and 33 mins,Language: English,4.5 out of 5 stars,64 ratings,₹323.00
Kalvanin Kaadhali (Tamil Edition),Written by: Kalki,,Length: 6 hrs and 52 mins,Language: Tamil,4.5 out of 5 stars,59 ratings,₹118.00
Summer Knight,Written by: Jim Butcher,"The Dresden Files, Book 4",Length: 11 hrs and 13 mins,Language: English,4.5 out of 5 stars,19 ratings,"₹1,054.00"
Quantum Entanglement,Written by: Jed Brody,MIT Press Essential Knowledge Series,Length: 3 hrs and 34 mins,Language: English,4.5 out of 5 stars,3 ratings,₹586.00
Marketing 4.0,"Written by: Philip Kotler, Hermawan Kartajaya, Iwan Setiawan",Moving from Traditional to Digital,Length: 4 hrs and 48 mins,Language: English,4.5 out of 5 stars,148 ratings,₹469.00
Million Dollar Habits,Written by: Brian Tracy,Proven Power Practices to Double and Triple Your Income,Length: 8 hrs and 3 mins,Language: English,4.5 out of 5 stars,20 ratings,₹586.00
Vishnu ka Khazana [Vishnu's Treasure],Written by: Ashwin Sanghi,,Length: 14 hrs and 48 mins,Language: Hindi,4.5 out of 5 stars,3 ratings,₹69.00
